loc,entity,risk_score,complexity,revisions,risk_factor
113,packages/react-reconciler/src/ReactFiberSuspenseComponent.old.js,2.13,5,4,high
454,packages/react-art/src/ReactARTHostConfig.js,2.12,3,4,high
813,packages/react-devtools-shared/src/backend/agent.js,2.10,1,5,high
414,packages/react-reconciler/src/__tests__/DebugTracing-test.internal.js,2.10,3,4,high
192,packages/shared/ReactTypes.js,2.10,4,4,high
66,scripts/rollup/validate/eslintrc.cjs.js,2.08,4,5,high
389,packages/react-dom/src/__tests__/utils/ReactDOMServerIntegrationTestUtils.js,2.07,5,3,high
147,packages/react-reconciler/src/ReactFiberCacheComponent.new.js,2.07,1,7,high
147,packages/react-reconciler/src/ReactFiberCacheComponent.old.js,2.07,1,7,high
63,packages/react-dom/src/server/ReactDOMLegacyServerBrowser.js,2.06,2,7,high
161,packages/react-art/src/ReactART.js,2.06,4,4,high
159,packages/react-devtools-timeline/src/TimelineContext.js,2.06,4,4,high
333,packages/react-devtools/OVERVIEW.md,2.06,3,4,high
2013,packages/react-reconciler/src/__tests__/useMutableSource-test.internal.js,2.04,1,4,high
305,packages/react-devtools-shared/src/__tests__/profilingCharts-test.js,2.03,5,3,high
289,packages/react-devtools-timeline/src/content-views/SchedulingEventsView.js,2.01,5,3,high
1699,packages/react-reconciler/src/__tests__/ReactSuspense-test.internal.js,2.01,1,4,high
90,packages/shared/isValidElementType.js,2.01,2,6,high
23,packages/react-devtools-shared/src/config/DevToolsFeatureFlags.default.js,1.98,3,7,medium
242,packages/react-devtools-inline/__tests__/__e2e__/components.test.js,1.98,5,3,medium
495,packages/react-devtools-shared/src/devtools/views/Components/KeyValue.js,1.98,4,3,medium
95,packages/react-reconciler/src/ReactFiberFlags.js,1.98,1,7,medium
226,packages/react-native-renderer/src/ReactNativeBridgeEventPlugin.js,1.97,5,3,medium
454,packages/react-reconciler/src/__tests__/ReactSuspenseEffectsSemanticsDOM-test.js,1.96,4,3,medium
101,packages/react-devtools-extensions/webpack.backend.js,1.96,4,4,medium
157,packages/react-devtools-shared/src/devtools/views/Profiler/ProfilingImportExportButtons.js,1.95,1,6,medium
1166,packages/react-devtools-timeline/src/import-worker/preprocessData.js,1.95,1,4,medium
37,packages/scheduler/package.json,1.94,2,7,medium
184,scripts/circleci/run_devtools_e2e_tests.js,1.94,3,4,medium
180,packages/react-server-dom-relay/src/ReactFlightDOMRelayServerHostConfig.js,1.93,3,4,medium
358,packages/react-devtools-shared/src/devtools/views/Components/InspectedElement.js,1.91,2,4,medium
161,scripts/error-codes/__tests__/transform-error-messages.js,1.90,5,3,medium
320,packages/react-test-renderer/src/ReactTestHostConfig.js,1.90,4,3,medium
53,packages/react-dom/src/server/ReactDOMLegacyServerNode.js,1.89,3,5,medium
147,scripts/error-codes/transform-error-messages.js,1.88,5,3,medium
308,packages/react-devtools-shared/src/__tests__/utils.js,1.88,2,4,medium
288,packages/react-reconciler/src/ReactFiberTreeContext.new.js,1.88,4,3,medium
68,scripts/release/shared-commands/download-build-artifacts.js,1.88,4,4,medium
1557,packages/react-devtools-shared/src/__tests__/storeStressSync-test.js,1.88,2,3,medium
141,packages/react-devtools-shared/src/devtools/views/TabBar.js,1.87,5,3,medium
106,packages/react-devtools-shared/src/types.js,1.87,1,6,medium
65,scripts/rollup/validate/eslintrc.cjs2015.js,1.87,4,4,medium
135,packages/react-devtools-shared/src/devtools/views/Profiler/Profiler.css,1.87,5,3,medium
134,packages/shared/getComponentNameFromType.js,1.87,5,3,medium
262,packages/react-devtools-shared/src/backend/StyleX/__tests__/utils-test.js,1.86,4,3,medium
252,packages/react-devtools-shared/src/__tests__/profilerStore-test.js,1.86,4,3,medium
120,packages/react-devtools-shared/src/backend/StyleX/utils.js,1.85,3,4,medium
256,packages/react-devtools-shared/src/__tests__/utils-test.js,1.85,2,4,medium
632,packages/react-devtools-shared/src/hooks/astUtils.js,1.85,1,4,medium
513,packages/scheduler/src/__tests__/Scheduler-test.js,1.84,3,3,medium
113,packages/react-reconciler/src/ReactFiberSuspenseComponent.new.js,1.84,3,4,medium
84,packages/react-noop-renderer/src/ReactNoopFlightServer.js,1.83,2,5,medium
55,packages/react-devtools-shell/src/e2e/devtools.js,1.83,4,4,medium
53,packages/react/src/ReactStartTransition.js,1.83,4,4,medium
107,packages/react-devtools-inline/__tests__/__e2e__/profiler.test.js,1.82,5,3,medium
443,packages/react-client/src/ReactFlightClient.js,1.82,3,3,medium
431,packages/react-dom/src/client/ReactDOMInput.js,1.81,3,3,medium
514,packages/react-devtools-shared/src/hooks/parseHookNames/loadSourceAndMetadata.js,1.81,1,4,medium
202,packages/react-reconciler/src/ReactFiberTransition.new.js,1.81,2,4,medium
69,packages/react-server/src/forks/ReactServerFormatConfig.custom.js,1.79,1,6,medium
438,packages/react-devtools-shared/src/hooks/parseHookNames/parseSourceAndMetadata.js,1.78,1,4,medium
177,packages/react-server-native-relay/src/ReactFlightNativeRelayServerHostConfig.js,1.78,2,4,medium
940,packages/react-devtools-shared/src/__tests__/legacy/inspectElement-test.js,1.78,5,2,medium
925,packages/react-reconciler/src/__tests__/ReactContextPropagation-test.js,1.78,5,2,medium
76,README.md,1.77,3,4,medium
740,packages/react-reconciler/src/ReactFiberClassUpdateQueue.new.js,1.76,2,3,medium
307,packages/react-devtools-timeline/src/content-views/ComponentMeasuresView.js,1.76,3,3,medium
740,packages/react-dom/src/__tests__/ReactDOMServerIntegrationAttributes-test.js,1.74,5,2,medium
55,packages/shared/ReactSymbols.js,1.74,1,6,medium
71,packages/react-devtools-shell/index.html,1.74,5,3,medium
273,packages/react-devtools-shared/src/__tests__/profilingCommitTreeBuilder-test.js,1.74,3,3,medium
69,scripts/rollup/validate/eslintrc.umd.js,1.74,5,3,medium
634,packages/react-dom/src/__tests__/ReactDOMImageLoad-test.internal.js,1.73,2,3,medium
696,packages/react-native-renderer/src/__tests__/ReactNativeMount-test.internal.js,1.73,5,2,medium
61,packages/react-reconciler/src/ReactFiberHostConfigWithNoHydration.js,1.72,3,4,medium
574,packages/react/src/ReactElement.js,1.72,2,3,medium
109,packages/react-devtools-extensions/src/backend.js,1.70,4,3,medium
22,packages/react-devtools-shell/src/e2e/app.js,1.70,3,5,medium
2907,packages/react-reconciler/src/__tests__/ReactIncremental-test.js,1.69,3,2,medium
28,packages/react-devtools-inline/playwright.config.js,1.69,4,4,medium
8222,packages/eslint-plugin-react-hooks/__tests__/ESLintRuleExhaustiveDeps-test.js,1.69,2,2,medium
537,packages/react-dom/src/__tests__/refs-test.js,1.69,5,2,medium
536,packages/react-reconciler/src/__tests__/ReactConcurrentErrorRecovery-test.js,1.69,5,2,medium
41,packages/react-reconciler/package.json,1.69,2,5,medium
101,packages/react-dom/src/__tests__/ReactDOMSafariMicrotaskBug-test.js,1.69,4,3,medium
40,packages/react-refresh/package.json,1.69,2,5,medium
232,packages/react-server-dom-relay/src/__tests__/ReactFlightDOMRelay-test.internal.js,1.68,1,4,medium
489,packages/react-reconciler/src/ReactFiberHotReloading.old.js,1.68,5,2,medium
7088,fixtures/ssr/yarn.lock,1.67,2,2,medium
38,packages/react-test-renderer/package.json,1.67,1,6,medium
181,packages/react-devtools-shared/src/__tests__/setupTests.js,1.67,3,3,medium
36,packages/react-devtools-shared/src/config/DevToolsFeatureFlags.extension-fb.js,1.66,1,6,medium
202,packages/react-reconciler/src/ReactFiberTransition.old.js,1.66,1,4,medium
0,.circleci/config.yml,1.66,1,31,medium
